class;TP;FP;FN;TN;precision;recall;specificity;f1;support
No Cancer;7347;867;3160;6227;0.8944;0.6992;0.8778;0.7849;10507
Cancer;6227;3160;867;7347;0.6634;0.8778;0.6992;0.7557;7094
;;;;;;;;;
SUMMARY;;;;;0.7789;0.7885;;0.7703;17601
